再生回数,取得日時
12390979,2021/11/15 08:29:04
12402862,2021/11/15 08:43:10
12408290,2021/11/15 08:56:09
12465614,2021/11/15 10:11:19
12511001,2021/11/15 11:06:50
12545805,2021/11/15 11:40:44
12558365,2021/11/15 11:55:32
12571999,2021/11/15 12:23:04
12589655,2021/11/15 12:40:55
12600337,2021/11/15 12:53:49
12627831,2021/11/15 13:23:49
12653628,2021/11/15 13:50:38
12664000,2021/11/15 14:09:35
12674205,2021/11/15 14:28:00
12687034,2021/11/15 14:40:50
12696098,2021/11/15 14:53:36
12724319,2021/11/15 15:21:09
12742013,2021/11/15 15:44:50
12757587,2021/11/15 15:57:40
12775108,2021/11/15 16:22:31
12785717,2021/11/15 16:36:37
12796212,2021/11/15 16:49:39
12821207,2021/11/15 17:09:43
12862691,2021/11/15 17:50:16
12882599,2021/11/15 18:09:55
12913666,2021/11/15 18:31:43
12942295,2021/11/15 18:45:56
12965297,2021/11/15 18:59:02
13008295,2021/11/15 19:27:30
13031611,2021/11/15 19:44:53
13038645,2021/11/15 19:57:56
13064721,2021/11/15 20:19:59
13079225,2021/11/15 20:33:07
13091540,2021/11/15 20:46:02
13102438,2021/11/15 20:59:02
13133855,2021/11/15 21:39:04
13177029,2021/11/15 22:06:59
13209915,2021/11/15 22:32:59
13237646,2021/11/15 22:45:43
13253856,2021/11/15 22:58:34
13297672,2021/11/15 23:22:13
13341596,2021/11/15 23:50:02
13347688,2021/11/16 00:08:51
13385699,2021/11/16 00:33:21
13413743,2021/11/16 00:50:21
13435112,2021/11/16 01:13:36
13483042,2021/11/16 01:54:16
13513475,2021/11/16 02:24:01
13528557,2021/11/16 02:44:21
13539923,2021/11/16 02:57:14
13559363,2021/11/16 03:22:57
13573619,2021/11/16 03:39:48
13579146,2021/11/16 03:52:43
13588288,2021/11/16 04:12:15
13591379,2021/11/16 04:25:18
13595475,2021/11/16 04:38:28
13598917,2021/11/16 04:51:31
13605334,2021/11/16 05:13:02
13610621,2021/11/16 05:32:41
13614902,2021/11/16 05:45:35
13616809,2021/11/16 05:58:30
13620371,2021/11/16 06:21:00
13622498,2021/11/16 06:36:33
13626020,2021/11/16 06:49:37
13629954,2021/11/16 07:07:16
13635784,2021/11/16 07:30:03
13638639,2021/11/16 07:43:54
13643021,2021/11/16 07:56:42
13650579,2021/11/16 08:23:25
13657141,2021/11/16 08:39:22
13666280,2021/11/16 08:52:29
13701345,2021/11/16 09:48:15
13740502,2021/11/16 10:46:28
13760969,2021/11/16 11:18:53
13787516,2021/11/16 11:46:35
13797142,2021/11/16 11:59:28
13812810,2021/11/16 12:25:32
13824822,2021/11/16 12:43:51
13835537,2021/11/16 12:56:29
13857973,2021/11/16 13:30:16
13865241,2021/11/16 13:54:12
13882435,2021/11/16 14:18:27
13891313,2021/11/16 14:32:41
13903858,2021/11/16 14:45:50
13911983,2021/11/16 14:58:47
13937575,2021/11/16 15:28:05
